rank,name,industry,revenue (usd million),revenue growth,employees,headquarters
302,Alcoa,Manufacturing,"10,433",Decrease 22.2%,"13,800","Pittsburgh, Pennsylvania"
303,FIS,Financial Technology,"10,333",Increase 22.7%,"55,000","Jacksonville, Florida"
304,Henry Schein,Healthcare,"10,305",Decrease 21.9%,"19,000","New York City, New York"
305,Republic Services,Waste management,"10,299",Increase 2.6%,"36,000","Phoenix, Arizona"
306,Liberty Media,Media,"10,292",Increase 28.0%,"6,753","Englewood, Colorado"
307,Kiewit Corporation,Construction,"10,283",Increase 13.9%,"23,000","Omaha, Nebraska"
308,Interpublic Group of Companies,Advertising,"10,221",Increase 5.2%,"54,300","New York City, New York"
309,PulteGroup,Construction,"10,213",Increase 0.2%,"5,245","Atlanta, Georgia"
310,AES Corporation,Electric utility,"10,189",Decrease 5.1%,"8,000","Arlington, Virginia"
311,Fiserv,Financials,"10,187",Increase 74.9%,"44,000","Brookfield, Wisconsin,"
312,BorgWarner,Automotive,"10,168",Decrease 3.4%,"29,000","Auburn Hills, Michigan"
313,Oneok,Petroleum industry,"10,164",Decrease 19.3%,"2,882","Tulsa, Oklahoma"
314,O'Reilly Auto Parts,Auto retailer,"10,150",Increase 6.4%,"67,663","Springfield, Missouri"
315,Assurant,Insurance,"10,087",Increase 25.2%,"13,900","New York City, New York"
316,Newell Brands,Consumer goods,"10,083",Decrease 22.6%,"30,000","Atlanta, Georgia"
317,Public Service Enterprise Group,Utilities,"10,076",Increase 3.9%,"12,992","Newark, New Jersey"
318,News Corp,Media,"10,074",Increase 11.6%,"28,000","New York City, New York"
319,Calpine,Energy,"10,072",Increase 5.9%,"2,256","Houston, Texas"
320,Auto-Owners Insurance,Insurance,"10,007",Increase 25.1%,"6,141","Lansing, Michigan"
321,Mohawk Industries,Manufacturing,"9,971",Decrease 0.1%,"41,800","Calhoun, Georgia"
322,Campbell Soup Company,Food processing,"9,909",Increase 14.1%,"19,000","Camden, New Jersey"
323,PVH,Apparel,"9,909",Increase 2.6%,"30,750","New York City, New York"
324,NRG Energy,Energy,"9,871",Decrease 8.6%,"4,577","Princeton, New Jersey"
325,Fifth Third Bank,Financials,"9,790",Increase 22.8%,"19,869","Cincinnati, Ohio"
326,Hertz Corporation,Auto retailer,"9,779",Increase 2.9%,"38,000","Estero, Florida"
327,Altice USA,Telecommunications,"9,761",Increase 2.0%,"10,700","New York City, New York"
328,Newmont Corporation,Mining,"9,740",Increase 34.3%,"16,600","Greenwood Village, Colorado"
329,Cheniere Energy,Energy,"9,730",Increase 21.8%,"1,530","Houston, Texas"
330,Advance Auto Parts,Auto retailer,"9,709",Increase 1.3%,"53,000","Raleigh, North Carolina"
331,Lam Research,Semiconductor,"9,654",Decrease 12.9%,"10,700","Fremont, California"
332,Owens & Minor,Healthcare,"9,650",Decrease 1.9%,"15,400","Mechanicsville, Virginia"
333,Equitable Holdings,Insurance,"9,591",Decrease 20.6%,"10,100","New York City, New York"
334,Conagra Brands,Food processing,"9,538",Increase 20.2%,"18,000","Chicago, Illinois"
335,Markel Corporation,Insurance,"9,526",Increase 39.2%,"18,600","Tysons Corner, Virginia"
336,Edward Jones Investments,Financials,"9,526",Increase 10.8%,"49,000","St Louis, Missouri"
337,Hormel,Food processing,"9,497",Decrease 0.5%,"18,800","Austin, Minnesota"
338,Hilton Worldwide,Hospitality,"9,452",Increase 6.1%,"173,000","Tysons Corner, Virginia"
339,Univar Solutions,Chemical industry,"9,444",Increase 9.4%,"10,300","Chicago, Illinois"
340,United Rentals,Rental equipment,"9,351",Increase 16.2%,"19,100","Stamford, Connecticut"
341,Pioneer Natural Resources,Petroleum industry,"9,304",Decrease 1.2%,"2,323","Irving, Texas"
342,Delek US,Petroleum industry,"9,298",Decrease 9.4%,"3,707","Brentwood, Tennessee"
343,Eastman Chemical Company,Chemical industry,"9,273",Decrease 8.6%,"14,500","Kingsport, Tennessee"
344,Emcor,Engineering,"9,175",Increase 12.8%,"36,000","Norwalk, Connecticut"
345,Avis Budget Group,Car rental,"9,172",Increase 0.5%,"25,600","Parsippany, New Jersey"
346,J. B. Hunt,Transportation,"9,165",Increase 6.4%,"29,056","Lowell, Arkansas"
347,Xerox,Technology,"9,145",Decrease 7.0%,"27,000","Norwalk, Connecticut"
348,Wayfair,Retail,"9,127",Increase 34.6%,"16,985","Boston, Massachusetts"
349,Kohlberg Kravis Roberts,Financials,"9,120",Increase 74.6%,"1,384","New York City, New York"
350,AGCO,Agricultural equipment,"9,041",Decrease 3.3%,"20,961","Duluth, Georgia"
351,Alleghany Corporation,Insurance,"9,041",Increase 31.3%,"10,786","New York City, New York"
352,Icahn Enterprises,Conglomerate,"8,992",Decrease 52.6%,"28,033","New York City, New York"
353,Voya Financial,Financials,"8,942",Increase 0.1%,"6,000","New York City, New York"
354,Ryder,Transportation,"8,926",Increase 6.1%,"39,900","Miami, Florida"
355,Air Products & Chemicals,Chemical industry,"8,919",Decrease 0.1%,"17,570","Allentown, Pennsylvania"
356,The Mosaic Company,Fertilizer,"8,906",Decrease 7.1%,"12,600","Tampa, Florida"
357,Huntington Ingalls Industries,Defense industry,"8,899",Increase 8.8%,"42,000","Newport News, Virginia"
358,Berry Global,Packaging,"8,878",Increase 12.8%,"48,000","Evansville, Indiana"
359,Anixter,Distribution,"8,846",Increase 5.3%,"9,400","Glenview, IL"
360,Alaska Air Group,Airlines,"8,781",Increase 6.3%,"24,134","SeaTac, Washington"
361,Yum China,Food chain,"8,776",Increase 4.3%,"450,500","Plano, Texas"
362,Dick's Sporting Goods,Retail,"8,751",Increase 3.7%,"28,450","Coraopolis, Pennsylvania"
363,Caesars Entertainment,Casinos and Resorts,"8,742",Increase 4.2%,"64,000","Reno, Nevada"
364,Genworth Financial,Financials,"8,681",Increase 3.0%,"3,100","Richmond, Virginia"
365,Targa Resources,Petroleum industry,"8,671",Decrease 17.3%,"2,680","Houston, Texas"
366,"Coty, Inc.",Cosmetics,"8,649",Decrease 8.0%,"19,000","New York City, New York"
367,Dana Incorporated,Automotive,"8,620",Increase 5.9%,"36,300","Maumee, Ohio"
368,Thrivent Financial,Insurance,"8,612",Decrease 0.3%,"3,235","Minneapolis, Minnesota"
369,Autoliv,Automotive,"8,548",Decrease 12.8%,"61,957","Auburn Hills, Michigan"
370,SpartanNash,Food distribution,"8,536",Increase 5.8%,"13,800","Byron Center, Michigan"
371,Eversource Energy,Electric Utility,"8,527",Increase 0.9%,"8,234","Boston, Massachusetts"
372,Darden Restaurants,Restaurants,"8,510",Increase 5.3%,"184,514","Orlando, Florida,"
373,Chesapeake Energy,Petroleum industry,"8,489",Decrease 17.0%,"2,300","Oklahoma City, Oklahoma"
374,NOV Inc.,Petroleum industry,"8,479",Increase 0.3%,"34,645","Houston, Texas"
375,Fidelity National Financial,Financials,"8,469",Increase 11.5%,"23,484","Jacksonville, Florida"
376,Erie Insurance Group,Insurance,"8,443",Increase 5.1%,"5,778","Erie, Pennsylvania"
377,Oshkosh Corporation,Automotive,"8,382",Increase 8.8%,"15,400","Oshkosh, Wisconsin"
378,Casey's General Stores,Retail,"8,365",Increase 11.9%,"26,866","Ankeny, Iowa"
379,WESCO International,Distribution,"8,359",Increase 2.2%,"9,500","Pittsburgh, Pennsylvania"
380,Tractor Supply Company,Retail,"8,352",Increase 5.6%,"24,000","Brentwood, Tennessee"
381,CommScope,Telecommunications,"8,345",Increase 82.7%,"30,000","Hickory, North Carolina"
382,Huntsman Corporation,Chemical industry,"8,342",Decrease 27.6%,"10,000","The Woodlands, Texas"
383,American Financial Group,Financials,"8,237",Increase 15.2%,"7,700","Cincinnati, Ohio"
384,Masco,Distribution,"8,235",Decrease 1.5%,"22,000","Livonia, Michigan"
385,Sanmina Corporation,Electronic manufacturing service,"8,234",Increase 15.8%,"38,500","San Jose, California"
386,Amphenol,Cables manufacturing,"8,225",Increase 0.3%,"74,000","Wallingford, Connecticut"
387,Williams Companies,Petroleum industry,"8,201",Decrease 5.6%,"4,812","Tulsa, Oklahoma"
388,Westinghouse Air Brake Company,Machinery,"8,200",Increase 87.9%,"27,500","Pittsburgh, Pennsylvania"
389,Expeditors International,Transportation,"8,175",Increase 0.5%,"18,000","Seattle, Washington"
390,The Andersons,Food production,"8,170",Increase 168.3%,"2,284","Maumee, Ohio"
391,Westlake Chemical,Chemical industry,"8,118",Decrease 6.0%,"9,430","Houston, Texas"
392,Constellation Brands,Beverages,"8,116",Increase 7.0%,"9,800","Victor, New York"
393,Frontier Communications,Telecommunications,"8,107",Decrease 5.9%,"18,317","Norwalk, Connecticut"
394,JetBlue,Airlines,"8,094",Increase 5.7%,"19,032","New York City, New York"
395,Citizens Financial Group,Financials,"8,066",Increase 9.7%,"17,997","Providence, Rhode Island,"
396,Raymond James Financial,Financials,"8,023",Increase 7.3%,"14,200","St. Petersburg, Florida"
397,Foot Locker,Sports retailer,"8,005",Increase 0.8%,"33,294","New York City, New York"
398,The Hershey Company,Food processing,"7,986",Increase 2.5%,"15,330","Hershey, Pennsylvania"
399,Zimmer Biomet,Manufacturing,"7,982",Increase 0.6%,"19,900","Warsaw, Indiana,"
400,Cincinnati Financial,Financials,"7,924",Increase 46.5%,"5,200","Cincinnati, Ohio"
401,Western & Southern Financial Group,Insurance,"7,921",Increase 9.9%,"2,787","Cincinnati, Ohio"
402,W. R. Berkley,Insurance,"7,902",Increase 2.7%,"7,493","Greenwich, Connecticut"
403,Motorola Solutions,Manufacturing,"7,887",Increase 7.4%,"17,000","Chicago, Illinois"
404,Thor Industries,Manufacturing,"7,865",Decrease 5.6%,"21,750","Elkhart, Indiana,"
405,Regeneron Pharmaceuticals,Pharmaceutical industry,"7,863",Increase 12.7%,"8,100","Victor, New York"
406,Spirit AeroSystems,Aerospace,"7,863",Increase 8.9%,"18,200","Wichita, Kansas,"
407,The J.M. Smucker Company,Food processing,"7,838",Increase 6.5%,"7,400","Orrville, Ohio"
408,PPL Corporation,Electric utility,"7,769",Decrease 0.2%,"12,280","Allentown, Pennsylvania"
409,Insight Enterprises,Information technology,"7,731",Increase 9.2%,"11,261","Tempe, Arizona"
410,Quest Diagnostics,Diagnostics,"7,726",Increase 2.6%,"47,000","Secaucus, New Jersey"
411,KeyBank,Banking,"7,694",Increase 4.1%,"17,045","Cleveland, Ohio"
412,Veritiv,Paper and Packaging,"7,659",Decrease 11.9%,"8,000","Atlanta, Georgia"
413,DCP Midstream Partners,Petroleum industry,"7,625",Decrease 22.4%,"2,250","Denver, Colorado"
414,American Tower,Communications,"7,580",Increase 1.9%,"5,454","Boston, Massachusetts"
415,Graybar,Electrical equipment,"7,524",Increase 4.5%,"9,000","Clayton, Missouri"
416,WEC Energy Group,Electric Utility,"7,523",Decrease 2.0%,"7,509","Milwaukee, Wisconsin"
417,"NVR, Inc.",Construction,"7,428",Increase 3.3%,"5,700","Irvine, California"
418,Ulta Beauty,Cosmetics,"7,398",Increase 10.1%,"31,000","Bolingbrook, Illinois"
419,Devon Energy,Petroleum industry,"7,372",Decrease 31.3%,"1,800","Oklahoma City, Oklahoma"
420,The Blackstone Group,Financials,"7,338",Increase 7.4%,"2,905","New York City, New York"
421,Dean Foods,Food Processing,"7,329",Decrease 5.5%,"14,500","Dallas, Texas,"
422,Fortive,Machinery,"7,326",Increase 1.7%,"25,000","Everett, Washington"
423,UGI Corporation,Energy,"7,320",Decrease 4.3%,"12,800","King of Prussia, Pennsylvania"
424,Burlington,Retail,"7,286",Increase 9.3%,"47,000","Burlington, New Jersey"
425,Builders FirstSource,Building materials,"7,280",Decrease 5.8%,"15,800","Dallas, Texas,"
426,Toll Brothers,Construction,"7,224",Increase 1.1%,"5,100","Horsham, Pennsylvania"
427,Old Republic International,Insurance,"7,214",Increase 19.8%,"9,000","Chicago, Illinois"
428,Asbury Automotive Group,Auto retailer,"7,210",Increase 4.9%,"8,500","Duluth, Georgia"
429,Arthur J. Gallagher & Co.,Insurance,"7,195",Increase 3.8%,"33,247","Meadows, Illinois"
430,MasTec,Engineering construction,"7,183",Increase 4.0%,"21,000","Coral Gables, Florida"
431,Owens Corning,Manufacturing,"7,160",Increase 1.5%,"19,000","Toledo, Ohio"
432,Magellan Health,Healthcare,"7,159",Decrease 2.1%,"10,100","Phoenix, Arizona"
433,Dover Corporation,Manufacturing,"7,136",Decrease 3.5%,"24,000","Chicago, Illinois"
434,Beacon Building Products,Building materials,"7,105",Increase 10.7%,"8,147","Herndon, Virginia,"
435,Avery Dennison,Packaging,"7,070",Decrease 1.2%,"30,000","Glendale, California"
436,Hanesbrands,Clothing,"6,967",Increase 2.4%,"63,000","Winston-Salem, North Carolina"
437,Packaging Corporation of America,Manufacturing,"6,964",Decrease 0.7%,"15,500","Chicago, Illinois"
438,M&T Bank,Financials,"6,941",Increase 7.5%,"17,386","Buffalo, New York"
439,NCR Corporation,Technology,"6,915",Increase 8.0%,"36,000","Atlanta, Georgia"
440,Northern Trust,Financials,"6,895",Increase 3.5%,"19,800","Chicago, Illinois"
441,Cintas,Manufacturing service,"6,892",Increase 6.2%,"45,000","Cincinnati, Ohio"
442,Polaris Inc.,Manufacturing,"6,863",Increase 11.3%,"14,000","Medina, Minnesota"
443,CMS Energy,Electric Utility,"6,845",Decrease 0.4%,"8,459","Jackson, Michigan"
444,Seaboard Corporation,Food production,"6,840",Increase 3.9%,"13,100","Merriam, Kansas"
445,Intuit,Technology,"6,784",Increase 13.7%,"9,400","Mountain View, California"
446,Regions Financial Corporation,Financials,"6,755",Decrease 0.1%,"19,564","Birmingham, Alabama"
447,FM Global,Insurance,"6,743",Increase 24.2%,"5,591","Johnston, Rhode Island"
448,Advanced Micro Devices,Semiconductor,"6,731",Increase 4.0%,"11,400","Santa Clara, California"
449,Ovintiv,Petroleum industry,"6,726",Increase 13.3%,"2,571","Denver, Colorado"
450,Booz Allen Hamilton,Information technology,"6,704",Increase 8.6%,"26,100","McLean, Virginia"
451,S&P Global,Financials,"6,699",Increase 7.0%,"22,500","New York City, New York"
452,Rockwell Automation,Electrical equipment,"6,695",Increase 0.4%,"23,000","Milwaukee, Wisconsin"
453,O-I Glass,Manufacturing,"6,691",Decrease 2.7%,"27,500","Perrysburg, Ohio"
454,Wynn Resorts,Hospitality,"6,611",Decrease 1.6%,"30,200","Paradise, Nevada"
455,Securian Financial Group,Insurance,"6,601",Increase 20.1%,"6,400","Minneapolis, Minnesota"
456,Alliance Data,Technology,"6,581",Decrease 15.5%,"8,500","Columbus, Ohio"
457,Brighthouse Financial,Financials,"6,554",Decrease 26.9%,"1,330","Charlotte, North Carolina"
457,Weyerhaeuser,Forest and Paper Products,"6,554",Decrease 12.3%,"9,400","Seattle, Washington"
459,Intercontinental Exchange,Financial,"6,547",Increase 4.3%,"5,989","Atlanta, Georgia"
460,American Axle,Automotive,"6,531",Decrease 10.2%,"20,000","Detroit, Michigan"
461,Hess Corporation,Petroleum industry,"6,510",Increase 0.7%,"1,775","New York City, New York"
462,ABM Industries,Facility Services,"6,499",Increase 0.9%,"140,000","New York City, New York"
463,Activision Blizzard,Video games,"6,489",Decrease 13.5%,"9,200","Santa Monica, California"
464,GameStop,Retail,"6,466",Decrease 26.9%,"30,000","Dallas, Texas,"
465,APA Corporation,Petroleum industry,"6,411",Decrease 13.6%,"3,163","Houston, Texas"
466,Science Applications International Corporation,Information Technology Services,"6,379",Increase 36.9%,"24,311","Reston, Virginia"
467,AK Steel Holding,Metals,"6,359",Decrease 6.7%,"9,300","West Chester, Ohio"
468,Dillard's,Retail,"6,343",Decrease 2.5%,"30,400","Little Rock, Arkansas"
469,Ralph Lauren Corporation,Fashion,"6,313",Increase 2.1%,"18,650","New York City, New York"
470,Celanese,Chemical industry,"6,297",Decrease 12.0%,"7,714","Irving, Texas"
471,RR Donnelley,Printing,"6,276",Decrease 7.7%,"36,400","Chicago, Illinois"
472,Zoetis,Pharmaceutical industry,"6,260",Increase 7.5%,"10,600","Parsippany, New Jersey"
473,Ascena Retail Group,Retail,"6,243",Decrease 5.1%,"33,000","Mahwah, New Jersey"
474,Clorox,Household products,"6,214",Increase 1.5%,"8,800","Oakland, California"
475,Ingredion,Food Processing,"6,209",Increase 6.3%,"11,000","Westchester, Illinois"
476,First American Financial,Insurance,"6,202",Increase 7.9%,"18,412","Santa Ana, California"
477,Graphic Packaging,Packaging,"6,160",Increase 2.3%,"18,000","Atlanta, Georgia"
478,HD Supply,Retail,"6,146",Increase 1.6%,"11,500","Atlanta, Georgia"
479,NetApp,Technology,"6,146",Increase 4.0%,"10,500","Sunnyvale, California"
480,TravelCenters of America,Retail,"6,117",Decrease 12.3%,"18,594","Westlake, Ohio"
481,Olin Corporation,Chemical industry,"6,110",Decrease 12.0%,"6,500","Clayton, Missouri"
482,Robert Half International,Professional services,"6,074",Increase 4.7%,"16,000","Menlo Park, California"
483,EnLink Midstream,Pipelines,"6,053",Decrease 21.4%,"1,355","Dallas, Texas"
484,Avantor,Manufacturing,"6,040",Increase 3.0%,"12,000","Radnor, Pennsylvania"
485,"Tapestry, Inc.",Apparel,"6,027",Increase 2.5%,"17,400","New York City, New York"
486,TD Ameritrade,Online broker,"6,016",Increase 10.3%,"9,226","Omaha, Nebraska"
487,Analog Devices,Manufacturing,"5,991",Decrease 3.4%,"16,400","Greeley, Colorado"
488,Ameren,Electric utility,"5,910",Decrease 6.1%,"9,323","St. Louis, Missouri"
489,"Williams-Sonoma, Inc.",Retail,"5,898",Increase 4.0%,"19,300","San Francisco, California"
490,Realogy,Real estate,"5,870",Decrease 3.4%,"10,150","Madison, New Jersey"
491,Commercial Metals Company,Metals,"5,829",Increase 17.8%,"11,524","Irving, Texas"
492,Rush Enterprises,Auto retailer,"5,810",Increase 5.5%,"7,244","New Braunfels, Texas"
493,Franklin Templeton Investments,Financials,"5,775",Decrease 8.6%,"9,597","San Mateo, California"
494,Fortune Brands Home & Security,Manufacturing,"5,765",Increase 5.1%,"24,700","Deerfield, Illinois"
495,Levi Strauss & Co.,Apparel,"5,763",Increase 3.4%,"15,800","San Francisco, California"
496,Crown Castle,Real estate,"5,763",Increase 7.3%,"5,100","Houston, Texas"
497,Simon Property Group,Real estate,"5,755",Increase 1.7%,"3,750","Indianapolis, Indiana"
498,Cerner,Healthcare,"5,693",Increase 6.1%,"27,400","North Kansas City, Missouri"
499,Post Holdings,Food processing,"5,681",Decrease 9.2%,"10,100","St. Louis, Missouri"
500,Huntington Bancshares,Financials,"5,655",Increase 7.3%,"15,664","Columbus, Ohio"
